phot_g_mean_mag,bp_rp
18.708248,1.8190899
15.217412,1.5552301
17.188307,1.3407879
17.653942,
17.61755,1.4226036
18.112352,1.3629951
16.576084,1.3052597
18.96558,
17.002457,1.3027744
17.26251,1.1715965
17.877682,1.355957
18.297564,1.4283695
17.16009,1.3609962
14.2278385,1.5202179
18.57826,1.3543282
16.74355,1.4766064
12.223219,1.6969719
18.891325,
16.126093,1.2934675
15.894645,1.4163456
17.21593,
16.599136,1.2586803
15.4848385,1.4231405
16.70315,1.2515249
17.675535,1.5091381
14.191182,1.5277834
17.99043,
16.819815,1.2938776
17.300781,1.5395584
16.792559,1.3095589
17.379486,
16.725368,1.2202902
15.352225,1.1172867
17.719046,1.3099422
15.243964,1.4796886
15.830423,1.3974829
14.921069,1.5033007
16.936274,1.3167381
18.09316,2.8481026
15.435178,1.4828291
17.376509,1.3271065
14.399724,0.8130655
16.232904,1.7996035
13.757309,1.5425797
16.994297,1.2772484
16.426262,1.2414322
16.84918,1.2595634
17.310432,1.260437
19.338991,1.710331
15.957631,1.2813892
19.40317,1.5862312
16.50326,1.2554379
17.788395,1.031538
17.742123,1.4075909
18.029686,1.3097553
17.06814,1.1589413
17.015795,1.2608109
18.019684,1.3831635
16.433403,1.2777929
17.33565,1.2245903
16.27168,1.2271776
17.613094,1.1416206
17.043064,1.9939709
12.092113,1.7091665
16.573204,1.2270594
16.686983,1.2532082
15.15227,1.4899721
17.864801,
14.856518,1.4507313
16.661924,1.320612
18.792765,1.8518028
17.578978,1.30793
14.243538,1.5932455
16.750109,1.2326031
17.177225,1.2951298
17.808262,1.315424
15.055873,1.4611883
16.781078,1.2185631
16.660482,1.2480278
17.0576,1.2690163
18.921728,1.4137478
19.945587,1.5520706
11.069428,1.896162
17.46443,1.2834549
17.302998,1.2642384
17.37261,
17.498178,1.3079605
17.594196,
16.01158,1.532898
18.865332,1.574131
16.154194,1.4889555
17.731083,1.3432426
17.029032,1.3004189
17.647558,1.5114441
17.820383,1.5153866
14.95673,1.5116291
17.69629,1.3357964
17.52435,1.3359108
18.609837,1.5253181
16.451706,1.2916203
17.38735,1.3290195
18.71377,1.5449905
18.563658,1.546833
19.101006,1.7823658
18.548372,1.5522003
18.067652,1.4453735
19.632717,1.8691082
17.597689,1.402874
14.9181185,1.5980768
16.161057,1.4522305
19.618093,1.8396492
19.012486,1.5690193
16.350885,1.3516941
16.083849,1.443759
17.315653,1.3125858
16.804071,1.2711201
18.340834,1.5340557
17.066206,1.227932
17.76492,
12.832715,1.3939934
17.424562,1.2876549
17.341238,1.2660656
16.27123,1.2542934
17.52228,1.5051746
18.61372,1.6301765
16.850994,1.3129072
19.644238,1.7549229
17.408972,1.2988167
17.248857,1.2608643
19.714157,1.4698906
17.828209,1.3521538
17.733343,1.3617191
17.192028,1.2516613
16.356632,1.2654943
17.833345,1.3618202
16.998936,1.2849579
17.277355,1.3238497
17.68589,1.3657589
17.791025,1.3565559
16.612139,1.2610826
17.935251,1.2736511
17.846348,1.3755379
18.023197,1.284298
16.529299,1.2599745
17.555052,1.330389
19.032724,1.6857319
17.042576,1.3541336
17.580954,1.3297386
14.9171095,1.5301037
17.154438,1.3043308
18.551651,1.4910965
18.271751,1.449358
16.14707,1.3478947
18.969631,1.6742268
18.055708,1.4276485
18.618923,1.5296001
14.763658,1.5341063
18.83173,
16.01106,1.4266834
19.001513,1.7223454
19.32092,1.6998558
17.717258,1.3536797
18.116453,1.3959045
18.15192,1.4099445
17.335068,1.437664
18.951488,1.5793839
17.146872,1.3175697
15.55578,1.512763
18.939735,1.6261997
17.165989,1.3139076
16.621601,1.3110123
19.19138,1.6983871
16.724554,1.2480469
17.748047,1.3972626
19.296392,1.8059483
17.9365,1.3958912
16.98986,1.2746086
16.919073,1.2748356
13.234606,1.3545485
16.586067,1.2578773
19.561356,1.8461056
17.632456,1.2930889
15.359642,1.3945436
17.98087,1.3628063
18.602814,1.4780769
17.430874,1.2639027
18.029335,1.342104
17.15066,1.2393589
17.387108,1.2531548
16.582106,1.1849213
19.715614,1.80443
15.799735,1.3052711
12.917562,1.5639763
17.50888,1.2722511
20.23279,2.067875
16.295631,1.1772757
16.669924,1.1796894
18.313623,1.4029312
18.757977,1.5163345
18.55554,1.4746685
17.274368,1.2500153
18.220339,1.3709774
16.324028,1.1756706
14.642428,1.4177017
17.944172,1.3136959
16.581299,1.1520691
18.809778,1.5417423
15.846464,1.200902
16.164873,1.1777468
17.852606,1.3184776
17.806026,1.3152523
16.760628,1.1829681
18.75711,1.5453396
15.957216,1.3932734
17.935534,1.3888626
20.542694,1.8442822
18.050238,1.4508686
18.355585,1.5051842
18.213205,1.4925289
18.121813,1.462759
17.326435,1.3112488
16.427525,1.3719435
19.799015,1.7382412
17.123428,1.258892
17.208601,1.2489452
19.771698,1.7680798
18.60792,1.5836506
17.482388,1.3134766
19.151485,1.6614437
19.161716,1.6499691
17.224401,1.2694492
17.630959,1.3298931
14.239902,1.537241
17.449743,1.3210201
18.373865,1.4778538
14.10329,1.5653467
14.652205,1.5477486
19.236769,1.4942017
18.908438,1.5770702
18.04699,1.3831558
17.65159,1.3303776
16.216309,1.2785854
16.281221,1.274168
17.74995,1.3461189
16.378332,1.2724438
19.355137,1.7362957
16.243006,1.2833424
17.285969,1.2580986
18.473385,
19.042284,1.5506668
15.813504,1.3686266
16.56825,1.2436285
16.965298,1.2229996
16.703547,1.3590498
19.501848,1.9556026
18.004452,1.3982506
18.158243,1.4164028
17.579233,1.3534336
17.867456,1.2115469
16.516823,1.2183084
18.619968,1.5629501
18.333942,1.4967632
17.961842,1.3755474
18.103558,1.410223
19.172888,1.6295376
15.710223,1.4108744
17.350973,1.3044071
16.50828,1.2330217
14.388852,1.5334692
18.30306,
17.661562,1.3313446
17.463226,1.3017654
19.853548,
20.170324,1.8779144
17.244244,1.2842598
19.331432,1.7713585
17.201767,1.2673569
17.145863,1.2542439
18.102118,1.3873634
20.226639,1.8358879
17.787823,1.323679
16.975153,1.2333069
16.637575,1.2508564
19.002796,1.586359
