phot_g_mean_mag,bp_rp
16.516146,0.89642334
16.519808,0.8797884
15.691969,0.90430164
13.337586,1.1835766
16.718182,0.9045801
13.685035,0.24469662
17.055696,0.9204674
16.259882,0.9035969
16.126732,0.87046623
16.106783,0.8664465
17.714674,1.0418358
17.517733,
16.58182,0.8433552
18.160328,1.0234146
15.406931,1.0467014
17.359495,0.85455894
17.330969,0.9447918
17.327394,0.91482544
19.391897,1.2427082
16.673897,0.87433624
17.807074,
18.313349,
16.919556,0.9295654
17.920416,0.9374676
16.033634,0.88722134
16.459667,0.85485744
19.21998,0.7006378
17.220612,0.851387
15.024792,1.1090555
19.406427,1.4849644
17.661469,0.9935074
18.92245,1.2903214
16.805305,0.8856869
19.54956,1.20331
18.255634,1.369339
18.899036,1.2194214
18.506475,1.1745071
19.275028,
13.794906,1.1785717
18.495176,1.2375336
18.195143,1.1025696
17.562693,0.9499397
18.544598,1.1119804
18.182941,1.0930519
17.623335,0.9647999
19.86867,1.6707706
14.927433,1.1224442
19.93682,
16.44691,0.8590107
17.567446,0.9580021
18.685257,1.1295681
14.769602,1.1281824
18.43525,1.1365852
19.328238,1.2968903
17.10805,0.889534
16.346832,0.9177742
18.062883,1.0449142
18.078917,1.0373173
19.358624,1.3039093
18.276876,1.0199814
13.713596,0.17926788
17.137075,0.89294434
18.0542,1.0362644
18.060282,1.0200882
18.084797,1.0604305
18.820591,1.1504307
17.829615,1.0235786
17.971577,0.99531746
16.429602,0.8648863
18.53828,1.1330395
17.97081,1.1609764
18.193031,1.0503025
18.819195,1.100811
17.279118,0.9268017
18.02738,1.0278282
14.5485115,1.1003408
18.261873,1.0749912
17.201157,0.90737534
18.87477,1.1861172
17.022018,0.8697586
18.94122,1.1333523
17.343958,0.93665886
16.867067,0.85352516
16.021675,0.85402775
16.491833,0.85230255
16.743353,0.8509407
16.118929,0.8386164
17.33329,0.98386955
16.345057,0.8428936
15.839784,0.8746834
19.124645,1.2447586
17.850801,0.98727036
18.201368,1.0517578
19.573442,1.3568764
18.740929,
18.249676,1.1073341
17.772066,1.04743
17.330566,1.0725288
18.140404,1.0534611
19.137583,1.3750744
18.51227,1.1599102
16.776186,0.8907871
18.716677,1.260994
18.029215,0.9728508
18.196087,0.90799904
17.839916,0.9704113
16.884857,0.85502434
17.635311,
16.939371,0.87781715
16.241806,0.84085846
18.80478,1.4488659
18.6211,1.1619225
13.049618,1.1989107
18.621277,1.1122055
17.525051,1.0147362
17.735806,0.86249924
18.20742,1.05023
16.998156,0.9318733
16.73556,0.84345245
17.454056,0.936491
16.704735,0.87812424
18.920399,1.2036991
17.860544,0.9889107
19.117636,1.336483
18.996935,1.2525082
19.698257,1.5687256
19.837017,1.5351295
17.707207,0.9786587
19.877016,1.5043106
16.170933,0.8708353
18.572628,1.1512909
18.262104,1.0594692
18.15743,1.0592709
16.25807,0.8466425
14.67607,1.1110878
19.128286,1.2112865
18.337841,1.0572186
19.699282,
16.841478,0.86141014
16.778683,0.8597622
17.652435,
15.078679,1.094882
17.779467,
18.482649,1.1308441
17.489584,0.95030403
16.744503,0.85866547
16.031958,0.86636925
18.53875,1.0866432
18.584415,1.1479492
17.239273,0.8951969
13.419372,0.2593994
13.888477,1.1596184
17.137009,0.87527084
19.055506,
17.216585,
18.2306,1.1669483
17.899958,1.022707
18.634447,1.0648994
17.032562,0.8102417
16.937208,0.85573196
16.5946,0.8690796
19.340286,
16.550219,0.8517437
17.614939,1.0623894
19.445621,1.3176079
18.294497,1.1073627
18.891764,1.2541924
15.9789295,0.90505314
14.4209,1.2352133
14.125393,1.1452074
15.860074,0.9224558
17.508898,0.72559357
19.59024,
16.788366,0.94672966
17.065865,0.89380836
17.235909,0.93754005
18.856058,
15.631929,1.0179071
17.685173,0.9501705
15.543011,1.0490837
15.8256645,0.9246769
16.194515,
16.585314,
13.319112,0.31460094
15.65926,0.9695244
16.525019,0.8544769
16.588251,0.8930836
15.531476,1.0186424
18.11058,1.0355263
17.856693,0.9824867
19.9143,
18.814486,1.2443485
17.900393,0.9859772
17.612162,0.92975426
17.464273,0.9456539
13.466245,0.27257347
13.879603,1.1642132
17.683407,1.0672741
17.534967,1.0395279
13.404525,1.2021112
18.98118,1.2785997
16.220509,0.87288666
19.746346,
18.55138,1.1785717
18.11962,0.97545433
18.170141,1.072689
18.494144,1.1580238
15.628801,1.0177298
16.89409,0.895977
17.094044,0.93330765
19.457987,1.3127537
