phot_g_mean_mag,bp_rp
18.616594,0.8900261
17.111513,0.7982807
17.551895,0.7901306
17.555422,0.7542381
13.896174,1.2162657
19.599102,1.0002823
18.065413,
17.10185,0.76971245
18.72361,0.8798046
18.743168,0.83553886
17.31532,0.77817917
13.913589,1.054349
18.722662,0.9233818
13.887808,1.2164001
18.564333,0.8050308
17.007418,0.84135437
18.81886,0.94628334
19.006296,0.91456413
17.329071,0.7877426
18.53082,0.8991699
16.890394,0.9520397
17.6429,0.8266525
19.639784,1.0567703
17.624454,0.7482109
19.302563,0.9343071
19.30493,1.1042824
17.791098,0.7839165
18.475733,0.8712864
17.798393,0.7788677
18.904501,
18.925241,
17.449194,0.77054787
17.999968,0.8180618
19.004238,0.9230404
18.582237,0.93161774
19.166626,
19.701357,1.195673
15.650022,1.0698671
16.85347,0.9691963
19.849745,1.2894955
17.170414,0.8025074
17.559658,0.7954693
17.960835,
18.880503,0.96671295
17.510302,0.7821331
18.85178,0.94099617
19.558819,1.2596188
18.095345,0.85383224
18.499025,0.8697262
17.85366,0.7871742
18.10155,0.7500839
17.887682,0.78619194
17.104927,0.8150692
18.522615,
17.49306,0.78494644
18.559607,1.0319118
17.886156,0.9104099
17.352661,0.7728596
16.96068,0.95908356
17.039017,0.8214741
17.12472,0.83076096
18.519003,
15.826178,1.0484724
17.933084,0.7317047
18.095661,0.8344383
18.078035,0.80558014
18.708221,0.917963
17.007435,0.85043716
17.772236,0.8456497
17.268486,0.77106285
17.135551,0.80996513
17.578234,0.7925644
17.55155,0.781374
18.016485,0.94623756
13.798773,1.2154274
19.039133,0.9576874
18.399258,
19.076618,
17.963055,0.7405853
19.102749,
19.168312,
17.41826,0.7691307
17.275112,0.7629452
18.013403,0.7792454
18.865698,0.8808632
18.213524,0.86544037
19.074665,0.91194344
17.03345,0.85899353
18.64068,
14.702504,1.1157951
17.786194,0.75125885
18.652018,1.0884705
17.869762,0.7291813
18.088034,0.8581333
19.362152,0.9424286
19.117142,
18.237131,0.8854599
14.884997,1.1188726
16.403582,0.97007465
18.79627,
17.332794,0.75309753
17.063784,0.824749
12.949866,1.3745384
16.110659,1.0429268
18.850952,0.70132446
19.933487,1.2531853
16.998156,0.93284225
18.400307,
17.393642,0.7726364
12.910075,1.2485619
13.28213,1.2927418
18.096275,0.7271881
18.05259,0.8692665
14.858465,1.076314
17.537428,0.7851944
14.172561,1.1201363
17.505114,0.79146385
18.439934,
17.166348,0.8487091
19.313828,0.73573685
19.130028,0.95010185
18.083168,0.7862377
18.082163,0.78116417
18.427536,0.85504913
17.708466,0.76597786
16.431845,1.0341187
18.0908,0.8147545
17.354954,0.76036835
17.595018,0.78704643
18.16255,0.8158684
18.032377,0.8058586
18.445711,0.80034447
19.18696,1.0103836
18.276085,0.79647064
17.033882,0.837162
19.559801,1.0704613
19.440056,1.0861549
17.217506,0.7835655
16.906626,0.9641113
17.75533,0.790102
18.612713,0.92315674
19.326004,1.1293621
16.842453,0.9651489
17.728567,0.7818756
18.981441,0.9279938
18.790361,0.9192295
17.489052,0.7774334
17.38699,0.79036903
19.283949,1.0213375
17.268097,0.80317116
19.549147,1.173811
17.633045,0.82730865
18.386326,0.83431625
18.951159,0.98960876
14.931945,1.0924206
18.66344,0.83880043
19.026821,0.8836918
18.88699,0.91802216
18.59432,0.8819809
17.823324,0.78863907
18.176537,0.8066273
18.557041,0.8841057
19.172178,1.0304642
15.352502,1.0949602
17.19336,0.7870865
18.964481,0.9974861
18.118195,0.8123894
18.214512,0.80460167
17.862253,0.78762436
17.435173,0.76377296
18.460152,0.8598118
17.475769,0.7652912
19.853567,1.1539841
16.932116,0.96141243
17.01281,0.89556885
17.613375,0.78486824
18.732637,0.8922882
19.123508,1.0248871
19.859528,1.015276
17.414625,0.7828922
19.614595,1.2116165
16.561106,1.0089264
19.257769,1.0525723
17.424156,0.7684727
19.239729,1.0357399
18.69667,0.88687515
15.467584,1.0698156
17.147638,0.7860184
17.051355,0.87591743
18.419336,0.83418655
17.150242,0.8094673
18.437805,0.8581066
18.199284,0.82826424
19.346006,1.015398
17.261568,0.7688656
19.236649,1.045126
19.04389,1.0276432
19.374233,1.0446911
17.421446,0.77823067
17.906624,0.8056488
17.470903,0.952652
17.977676,0.78704643
18.032343,0.748127
18.457108,0.8006573
18.69685,0.90065765
16.249918,1.0522366
12.039564,1.4837761
16.257717,1.0317354
17.787018,0.8185806
18.087181,0.81171036
17.636354,
17.703657,0.79862404
15.8598175,
17.954575,0.79504776
18.417871,0.8364296
18.379171,0.81373215
17.521112,0.77285194
18.839775,0.94068146
18.963661,0.96687126
19.88162,1.118391
17.707396,0.7752495
18.185434,0.79112625
18.175064,0.78788567
19.68342,1.0722027
18.28764,0.8158245
17.961624,0.8014755
18.825708,0.9401455
17.298635,0.7610779
17.451998,0.75014496
19.195173,0.9732914
18.009691,0.79698944
17.413176,0.7944145
18.116581,0.7716732
18.940424,0.8905678
16.455437,1.0208578
18.616375,0.87288094
13.890841,1.0734015
19.133108,0.9696312
18.817194,0.8437996
17.732765,0.78993607
13.043139,1.3245411
19.210094,0.9919472
17.505327,0.76218796
15.308478,1.073987
18.407835,0.88437843
17.607172,0.75185585
18.509062,0.8793087
17.8504,0.7587967
15.506115,1.0800905
18.206047,0.8179703
17.979908,0.7947712
17.044144,0.8632641
